id,shortname,description,naive_change,outcomes,attractor_id
P-01,purpose-cli-add,An operator can define and iterate on project purposes without writing code,`residual add purpose` CLI command,operator adds purposes tied to an attractor without writing code,A-06
P-02,skill-data-context,An operator can retrieve all current project context before starting a skill session,`residual skill-data <name>` prints formatted markdown context,operator begins skill sessions with current residual context,A-06
P-03,skill-install-paths,An operator can install skills into any supported agent's config directory without manual file management,`residual skill-install --agent <name>` command,operator installs skill files without manual file copying,A-03
P-04,verify-hook-integrity,Data integrity is enforced before any commit touches residual/ files,pre-commit git hook runs `residual verify all`,operator cannot commit invalid traits or broken attractor links,A-05
P-05,hyperliminal-matrix,The NKP matrix provides visual evidence of hyperliminal coupling and fusion/fission candidates,`residual matrix show` with colored table output,operator surfaces hyperliminal coupling without manual matrix calculation,A-06
P-06,skill-version-check,Skills self-report their version so an operator can detect and respond to staleness,Version field in skill front-matter; `residual skill-check` command,operator detects when a cached skill is outdated,A-03
P-07,fluent-metadata-capture,"The LLM interface accepts metadata additions in any order, at any phase, without explicit skill invocation or context switching — an operator records architecture as it comes to them","Conversational metadata entry: stressors, purposes, terms, and attractors can be added mid-session without phase discipline or skill ceremony",operator records stressor narratives without switching between skill phases,A-06
P-08,solo-workflow-complete,An operator can start and complete residuality workflow artifacts without outside input; consulting others remains desirable but optional,residual init + skill-data/skill sessions + verify all; core residual/ structure required,operator produces a residual tree that passes verify without outside input,A-06
P-09,alacarte-skill-walk,"An operator follows residuality a-la-carte — required core residual structure, optional skill sequence — so existing operator workflows remain feasible",skills and CLI treat purpose-walk through ATAM as selectable steps; verify enforces structure not ceremony,operator completes residual work using only the skill steps their workflow needs,A-06
P-10,persona-stressor-walk,An operator surfaces stressors from multiple personas so lone or small-team walks are not limited to a single perspective; default adequacy is two personas — one stakeholder and one direct user — unless the operator sets a different bar,residual/personas/*.md consumed by stressor-walk; default walk expects stakeholder + direct-user personas; later outcome: empirically derive alpha/beta perspective-heterogeneity coefficients and encode them,operator records stressors drawn from at least two personas including one stakeholder and one direct user; outcome includes eventual empirical alpha/beta encoding for perspective heterogeneity,A-06
P-11,probability-free-explore,An operator explores application state space fully as stressors explored and attractors discovered,stressors.csv + attractors.csv as the primary exploration ledger; schema omits probability fields because probability-framing narrows attention to pre-weighted futures and blocks discovery of unforeseen attractors,operator records stressors and attractors that constitute the explored state space,A-06
P-12,whole-system-residue-zig,"An operator records residues that answer stressors by changing hardware, process, organization, or policy when that zig survives better than a software-only zag",naive_change (and later residues) accept whole-system-residue; skills and CLI prompt for non-software zig before software patch,operator records whole-system-residue when the surviving change leaves the software boundary,A-07
P-13,criticality-ri-judge,"An operator judges residual-architecture quality by progress toward criticality and by comparing naive-architecture versus residual-architecture survival across recorded stressors (Ri), not by pattern compliance",residual matrix criticality + residual matrix ri,operator computes criticality and Ri from residual artifacts after stressor exposure,A-05
P-14,longitudinal-study-ri,Residual-architecture demonstrates longitudinal superiority in real environments by surviving more foreseen and unforeseen stressors past an Ri threshold,design and execute a controlled longitudinal study comparing residuality-guided architectures against risk/pattern baselines; publish protocol and results,outcome evidences residual-architecture survival past the Ri threshold across recorded stressors,A-01
P-15,communicable-robustness,"Operators and prospects can see robustness of the method through studies and through encoded perspective-heterogeneity (alpha/beta), so efficacy is communicable not merely asserted",published study artifacts plus documented alpha/beta derivation path tied to persona-driven walks,operator communicates residual-architecture robustness to a prospect via study outcomes and persona measures,A-01
P-16,attractor-dual-pressure,Every attractor carries both positive and negative state pressure so operators know what/why/how keeps the attractor going and what failure looks like,attractor records expose positive_state and negative_state (replacing single valence classification); skills require both sides before an attractor is considered defined,operator defines each attractor with a positive state and a negative state,A-09
P-17,outcome-aligned-forces,Purposes and stressors express outcomes — including modes of operation and ways of being — with schema and CLI language aligned to outcome rather than one-off feature checklists alone,rename/extend purpose feature+traits fields toward outcome semantics in CLI and CSV while preserving verify,operator records outcomes that encode end states or modes of operation using defined terminology,A-06
P-18,lexicon-project-wide,Git history uses project lexicon and component vocabulary so operators can read architectural intent from git log,commit-msg hook + verify commit-msg validate subject against lexicon/components/forces,operator reads commit history using defined outcome,A-02
P-19,persona-subagent-depth,Architectural insights from personas are maximized when each persona runs as an isolated subagent with staged analysis rather than inline alongside the main conversation,"Persona walks in later phases use isolated subagents that go through staged analysis: initial skepticisms and desires, attractor review, full force review, then handled/unhandled analysis before reporting to the parent",personas generate forces and residues reflecting the real state space; each persona produces a handled/unhandled analysis that surfaces genuinely unaddressed concerns,A-06
P-20,skill-bootstrap-orient,An agent or operator invoking any skill on an uninitialized project is guided by skill data to establish the three primitives in the correct order and form before analysis begins,"skill data emits a Bootstrap Required section with attractor, stressor, and purpose definitions and bootstrapping steps when the ledger is uninitialized or underspecified","operator establishes attractor, stressor, and purpose primitives before beginning skill analysis",A-10
P-21,iteration-ergodic-review,An operator reviews force descriptions against the architecture iteration's ergodic boundary after capture.,An operator-invoked post-capture heuristic scans force descriptions for component lexicon terms and presents matches without storing classifications or blocking verification.,Operator revises a flagged force that primarily describes a component dynamic. Operator leaves a flagged force unchanged when its source exists primarily beyond the ergodic boundary.,A-09
P-22,research-context-sidecar,An operator can consult ordered environmental evidence without treating it as a complete account of the hyperliminal.,"Only when prompted, the agent asks which material under residual/research/ the operator wants reviewed and how it should inform the session. The agent challenges restrictive or context-polluting use; tooling neither loads research automatically nor prescribes its organization.",Operator chooses research context for a requested review. Agent challenges research use that excludes coherent forces or pollutes the working context.,A-09
P-23,force-landscape-revisit,An operator periodically reopens the recorded stressor and attractor landscape as real-world configurations change.,"A non-blocking pre-commit hook compares last purpose-walk and stressor-walk completion against an operator-defined interval; .walk-review.toml on the git-sidecar branch holds state; prompts operator to revisit stressors and attractors when elapsed.",Operator maintains criticality by routinely taking architecture walks. Operator revises and extends forces and attractors as new evidence builds.,A-13
P-24,mechanistic-naive-change,An agent records the first mechanistic adjustment proposed in response to each stressor or purpose.,"Skill guidance and CLI help define naive_change through paired force, mechanism, and outcome examples.",Agent describes what changes in the system under naive_change. Agent describes the desired end state under outcome.,A-11
P-25,desired-force-outcomes,An actor records outcomes as states the residual-architecture should preserve under force.,"Skill and CLI prompts separately request environmental pressure, mechanistic adjustment, desired outcome, and unchecked attractor state.",Actor records the desired outcome under a stressor. Actor links the stressor to an attractor whose negative state describes unchecked pressure.,A-12
P-26,operator-readable-dialogue,An agent communicates ledger concepts in terms an operator can follow without side-channel lookup.,"Skills render attractor names and force shortnames in dialogue, adding IDs only on first reference or where a command requires them.",Agent and operator maintain shared comprehension of the active forces and attractors across a walk.,A-14
P-27,complementary-value,"Organizations carry real institutional trust in the methodology investments they already have — TDD, DDD, Clean or Onion architecture, or others. An operator who treats residuality as a wholesale replacement for that investment, rather than something that sits alongside and strengthens it, forfeits the credibility that comes from respecting existing practice.",Generalize both fixed-ideology skills — naive-draft's hardcoded vertical-slices/APOSD drafting method and tdd-implement's hardcoded R/G-TDD loop — into pluggable methodology slots that sit alongside the org's existing practice rather than replacing it.,operator's residual-architecture output complements the org's existing methodology rather than replacing it,A-17
P-28,methodology-hotswap,"Different organizations, teams, and even different projects within the same organization favor different architecture-drafting and implementation ideologies, and that preference changes over time. A tool that hardcodes one drafting methodology and one implementation loop cannot follow an operator across organizational or project boundaries without forcing a mismatch between the ledger's methodology assumptions and the ideology actually in use.",Two pluggable methodology-skill slots — drafting and implementation — replacing the two currently hardcoded skills.,operator swaps drafting and implementation methodology skills while the same skill continues to consume the ledger,A-17
P-29,non-practitioner-fluency,"Non-practitioners evaluate architectural claims through whatever mental model they already hold, and that model is often locked — fixed enough that vocabulary mismatch alone, not the reasoning's quality, causes the claim to be dismissed. An operator needs to theorize in advance how a given outsider will receive residuality-derived reasoning, and catalog which framings land and which trigger rejection — distinct from the reasoning itself.","A separate ledger, parallel to the core five files — not a single skill, not a naive_change bolted onto an existing stressor — dedicated to theorizing and cataloging interactions with outsiders: which audiences hold which locked priors, which translated framings have landed or failed historically, which channels are safe for raw vs. translated artifacts.",operator communicates residual-architecture insight to a non-practitioner using a vetted framing,A-17
P-30,component-add-cli,An operator can add a component to the registry without hand-editing components.csv,"residual add component --name <name> --description <desc> --status <proposed|actual> --architecture-set <set>, mirroring the ID-generation and idempotency guards the other add subcommands already have",operator adds a component using the CLI,A-08
