id,shortname,description,naive_change,outcomes,attractor_id
S-01,skill-version-drift,An operator installs a skill and later updates the binary — the installed skill is now at an older version with different methodology,Add version field to skill front-matter and a check command that compares installed vs embedded,skill versions remain consistent across binary updates,A-03
S-02,lexicon-scale-lag,terminology.csv grows to 200+ terms and trait validation becomes prohibitively slow,Add indexing or caching for the term set; keep term_set() as a HashSet for O(1) lookup,the system validates each trait without blocking commits,A-04
S-03,concurrent-purpose-write,Two operators run purpose-walk concurrently and both append to purposes.csv simultaneously,CSV append is not atomic; add file locking or make append idempotent by checking for duplicate IDs,concurrent stressor writes preserve data consistency,A-04
S-04,partial-init-clobber,An operator runs residual init in a directory that already has partial residual/ data — some files exist some don't,init must be idempotent: only write files that don't exist; never overwrite existing data,init preserves existing attractor links when run in a populated directory,A-04
S-05,skill-token-warn-miss,The token_warn limit is exceeded by a skill and no warning is surfaced,Add token estimation check in skill-show and skill-list; warn when approaching token_warn from storage-config,token warnings surface before any skill exceeds the warn limit,A-03
S-06,verify-hook-bypass,"Terminology validation in the pre-commit hook becomes slow enough that operators bypass it with --no-verify, admitting unverified traits to the repository",Build lexicon HashSet once per invocation; emit elapsed-time warning in verify output when the check exceeds 2 seconds,trait validation completes without triggering hook avoidance,A-02
S-07,skill-stub-burden,"The skill install-and-check lifecycle creates ongoing maintenance burden — users must track, update, and reconcile installed stubs that could instead delegate all content to the binary",Replace versioned installed stubs with static passthrough scripts that invoke the binary for content; remove version tracking from the installed file format,skill stubs delegate content retrieval without requiring version management,A-03
S-08,absent-metadata-session,An operator runs residual skill sessions on a preexisting project with no residual/ metadata — skills assume initialized data and produce empty or misleading outputs rather than pivoting to a capture-first mode,"Skills detect absence of stressors, purposes, and attractors at session start; skill-data warns and offers a bootstrapping checklist before proceeding to analysis",skill sessions detect absent metadata before producing architecture analysis,A-05
S-09,unverified-baseline,"A commit lands via --no-verify or direct CSV edit, bypassing the pre-commit hook — residuals data now contains unvalidated state that no skill session can safely trust as a baseline",Skills inspect recent git log for commits that touched residual/ without a passing verify; surface the unverified window at session start and switch to a change-tracking focus before analysis,skill sessions surface unverified stressor entries before analysis begins,A-05
S-10,tag-scan-false-coverage,"Third-party libraries, generated files, and non-standard formats resist annotation — operators must manually edit CSVs, making tag-scan coverage readings misleading and creating false integrity signals","Treat tag-scan as a suggestion system: allow stressor entries marked as coverage-exempt; tag-scan reports confidence rather than compliance; manual CSV edit is a first-class workflow, not a workaround",stressor tagging acts as a suggestion rather than a hard coverage requirement,A-05
S-11,cross-store-incongruence,"Stressor traits use plural and undefined terminology forms that fail verification, components exist only as free text with no registry, and no cross-store connectivity tests exist — data appears locally valid but fails as a system","Add components.csv as a first-class registry; expand verify links to check component references; write unit tests asserting: stressor attractor_ids exist in attractors.csv, component names resolve in components.csv, and trait words resolve in terminology.csv",attractor references remain valid across all residuals data stores,A-05
S-12,lexicon-alias-gap,"A trait references 'families' but terminology only defines 'family' — exact-word matching rejects valid plural, hyphenated, phrase, and language-variant forms like die/dice or alumnus/alumni, producing false violations that erode trust in verify","Each lexicon entry carries a quoted alias list in addition to its canonical form; term_set expands all aliases; e.g. ""'hyphenated-example' 'example-with-dash' 'this example has a dash in it' 'example, with hyphen'"" all resolve to the same term for matching",trait validation matches term aliases without penalizing plural or hyphenated variants,A-02
S-13,format-backend-lockin,"Projects want to store residuals data in TOML, JSON, SQLite, or a remote API — the CSV format is baked directly into every entity module with no I/O abstraction, making format migration require rewriting stressors, purposes, attractors, terminology, and personas separately",Introduce storage-format + storage-migration behind storage; CSV is the initial implementation; format_version keys transfer; alternate backends deferred,stressor data survives a storage format version migration keyed by a version number without loss or schema change,A-04
S-14,stressor-fire-blind,"Stressors have no field for how to detect whether they have fired — neither the CSV schema nor the tag-scan system surfaces observable signals (log patterns, metric thresholds, git hook output) that indicate a stressor is active in the real system","Add a detection_mechanism on stressor forces; field is free text describing observable signals that confirm the stressor is active (e.g. 'verify exits non-zero', 'git log shows --no-verify flag', 'matrix K/N > 1.0'); verify checks the field is non-empty for stressors targeting failing attractor pressure",stressor entries declare detection mechanisms for observing attractor drift in practice,A-05
S-15,orphan-component-column,"A stressor references a component name that has no entry in components.csv — the matrix displays a column for a component that has never been defined, described, or scoped, making the coupling analysis meaningless",Require each residue component_id to resolve in components.csv before verify links passes; undefined component references are link violations; matrix columns come from residues against the registry,stressor components resolve against a defined component registry before validation passes,A-05
S-16,proposed-as-actual,"An operator interprets residual components as code modules that must be fully implemented, or treats the component list as the actual system rather than a proposed architectural state space — adding five new components for comparison requires the same investment as the baseline, defeating the purpose of exploratory parallel architectures",components.csv carries status (proposed / actual) and architecture_set; structure filter/group targets a set; matrix can render a single set or a diff across two sets,operators explore proposed attractor states as named component sets without implying implementation,A-05
S-17,embedded-component-fields,"Stressor and purpose records embed component references directly in their fields — changing a component name or scope requires editing every stressor and purpose that mentions it; the 'which components survive this stressor' analysis has no dedicated home and cannot be versioned, compared, or queried independently",residues.csv owns force_id × component_id; legacy components_affected/components_enabled stay transitional mirrors only; verify links checks residues against registry and force ids,residue analysis is decoupled from stressor and purpose field definitions,A-04
S-18,flat-parallel-blind,"An operator has accumulated many stressors, purposes, and components across concerns, teams, and parallel architecture sets — the flat matrix/list view with no grouping or subset filter makes relationships invisible and parallel architectures indistinguishable from the baseline; the operator cannot zoom to one attractor, architecture_set, or force cohort without reading the whole grid","structure EXTERNAL filter/sort/group API (default group=attractor); matrix show accepts subset filters (--group, --architecture-set, force/component selectors) and renders a single set or all sets with visual section separators",operators filter stressor and matrix views by group or architecture_set to inspect parallel architectures independently,A-05
S-19,purpose-residue-gap,"residues.csv as designed in S-17 only carries stressor-sourced rows — purposes have no residue representation, making it impossible to see in one view which purposes are supported or undermined by which component and stressor combinations",residues.csv force_id accepts both stressor and purpose ids via forces.csv; unified picture of how each component serves or fails across stress and intent,residue records connect stressor and purpose entries within a unified group view,A-04
S-20,silent-residue-clobber,"The CLI overwrites residues.csv (and other managed files) without checking for manual modifications — an operator who has annotated residue statuses, added notes, or rearranged rows loses those changes silently; no diff, no warning, no backup; the problem is sharpest for residues.csv but applies to all files",storage-sessions change-detection hash; before write recompute and require --force on drift; storage-format performs the guarded CSV write,residue files preserve manual modifications and surface diffs before any overwrite occurs,A-05
S-21,phase-rigidity-assumption,"An operator trained on rigid phase-gated methodologies assumes skills must run in order, phases cannot overlap, and metadata must be complete before analysis — the tool does nothing to surface its fluent nature, causing operators to over-structure their workflow or abandon the tool as too prescriptive",skill-data and CLI process text include fluent-usage notes; cli-help artifacts lead with the fluent entry model; skills describe themselves as analytical lenses rather than mandatory gates,skill sessions communicate fluent stressor entry to counter phase-rigidity assumptions,A-05
S-22,prospect-efficacy-doubt,Prospect skepticism of residuality efficacy blocks adoption — without robust studies and empirical alpha/beta perspective measures the method looks like ungrounded ceremony,Design and execute controlled studies; derive and document alpha/beta; publish communicable robustness evidence alongside persona-walk defaults,operator communicates residual-architecture robustness to a prospect via study and persona outcomes,A-01
S-23,software-only-zag,"Operator prematurely decides on a software fix for a stressor and never examines hardware, process, organization, or policy zig",Skills and CLI remind the operator to examine whole-system-residue before software patches; reminder is incentive-aligned not foolproof,operator examines whole-system-residue before recording a software-only naive change,A-07
