id,name,description,positive_state,negative_state
A-01,Methodology Credibility,The residuality method has demonstrable communicable evidence of its efficacy,The residuality method has demonstrable evidence of efficacy that is communicable to prospects,The residuality method looks like ungrounded ceremony — prospects cannot evaluate its claims empirically
A-02,Terminology Drift,Domain terms accumulate without definitions or become inconsistent across files,Lexicon aliases cover plural hyphen and phrase forms; outcome validation hits defined terms without false rejects,Outcomes fail validation; lexicon grows stale; operator sessions invent contradictory terms
A-03,Skill Staleness,Installed skill files diverge from embedded skill definitions in the binary,Installed stubs match embedded skill versions or delegate content to the binary; skill-check stays green,Operators work from outdated methodology; skill-check reports version mismatch
A-04,Data Fragmentation,residual/ files become inconsistent — stressors reference nonexistent attractors; traits have no terminology basis,"Forces, residues, sessions, and format migration keep residual/ consistent under concurrent and migrated writes",verify all returns violations; change-detection is ignored; no trustworthy baseline for FMEA or ATAM
A-05,Residuals Incongruence,"The residual/ data diverges from the actual project state — stressors reference obsolete components, traits fail validation silently, and skill sessions produce analysis grounded in fabricated architecture",residual/ mirrors the proposed architecture_set; residues resolve to registry names; tag-scan suggestions align with verification,Obsolete component tokens remain; skill-data surfaces stale or empty metadata; analysis is grounded in fabricated architecture
A-06,Fluent Architecture Capture,"Metadata additions land in the right place regardless of session phase or explicit skill invocation — the tool meets the operator where they are, minimizing cognitive overhead of maintaining accurate residuals data",Stressors and purposes land mid-session without phase ceremony; a-la-carte skills remain usable; verify enforces structure not order,Operators over-gate phases or abandon the tool as too rigid
A-07,Software-Only Tunnel Vision,"Residues are assumed to be code changes; stressors better answered by hardware, process, or policy zig are forced into brittle software zags",Operator examines whole-system-residue before recording a software-only naive change,"Stressors are forced into brittle software zags when hardware, process, organization, or policy would survive better"
A-08,Tooling Circumvention,"Data operations are performed directly on residual/ files rather than through the CLI, bypassing ID generation, idempotency checks, and verify",operators and agents use residual CLI for all data operations; direct file edits are reserved for operations the tool does not support,"operators bypass the CLI with direct CSV edits, scripts, or raw mutations; ID generation, idempotency, and verify are silently skipped"
A-09,Agent Framework Coherence,"Tracks whether agents operating within residuality correctly understand its primitives, terminology, and methodology",The agent understands the residuality framework and its terms,The agent fails to understand the residuality framework or its terms
A-10,Initialization Completion,Tracks whether agents correctly establish ledger primitives before beginning skill analysis,The agent initializes the ledger before entering framework steps,The agent jumps into framework steps before initialization is complete
A-11,Naive Change Comprehension,The agent preserves the distinction between mechanistic adjustment and desired outcome.,The agent understands naive_change as the mechanistic adjustment made to counter a stressor or support a purpose.,"The agent uses naive_change to restate pressure, describe inaction, or predict failure, leaving the force without an architectural response."
A-12,Force Record Semantics,"Force records preserve the semantic role of description, naive_change, outcome, and linked attractor.","Every force separates environmental pressure, mechanistic adjustment, desired outcome, and unchecked attractor state.","Force fields restate or contradict one another, leaving the architecture response and desired state ambiguous."
A-13,Force Landscape Legibility,Actors can extend the force landscape without treating available evidence or observed frequency as its boundary.,Distinct real-world force configurations remain visible even when available evidence aggregates observations or emphasizes common behavior.,"Evidence hides or excludes coherent force configurations, shaping the residual-architecture against a narrowed environment."
A-14,Shared Framework Comprehension,Residual conversations remain comprehensible to both participants despite their different memory strengths.,"Agent and operator retain shared understanding because dialogue uses human-readable names, stable force shortnames, and clearly distinguished field meanings.","Dialogue relies on opaque IDs and implicit schema knowledge, forcing the operator to translate references and losing continuity between sessions."
A-15,Model Capability Variance,"The model available to an operator at any given moment varies unpredictably in capability — frontier, mid-tier, local, or open-weight — independent of which skill is being run.","Skills produce trustworthy results across the range of model capability an operator actually invokes them with, without the operator having to notice and manually work around degradation.","A skill's output visibly degrades when the invoking model can't meet the task's cognitive demands — obvious, not silent, but costly: the operator spends manual effort locating and compensating for the gap, session by session, that would be better spent elsewhere."
A-16,Powerful Model Availability,"Whether an operator has access to a model powerful enough to meet a skill's cognitive demands is subject to forces outside the architecture's control — market pricing, provider viability, and security policy alike.",A model powerful enough for the task remains available to the operator.,"Powerful models become unavailable to the operator, leaving only slower, less-capable, open-weight models, and shifting procedural burden a powerful model used to absorb onto the operator instead."
A-17,Practitioner Standing,An operator's professional and political position within their organization is shaped by whether the reasoning artifacts they produce are legible and acceptable to colleagues and management who do not share the operator's confidence in residuality.,Operator can apply and discuss residuality-shaped reasoning inside their org's prevailing methodology culture without professional or political risk.,"Surfacing residuality vocabulary reads as heretical or waterfall-flavored to agile-purist colleagues and management — operator conceals or waters down the method even though they're already convinced, muting its benefit."
A-18,Perspective Coverage Fidelity,"Whether an operator's set of consulted perspectives — human or AI — actually spans divergent viewpoints, rather than merely appearing to, determines whether recorded stressors reflect the real state space.","The operator's set of consulted perspectives — human and/or AI — actually spans divergent viewpoints: sufficient headcount and genuine psychological safety, sufficient model/persona heterogeneity and freedom from training-corpus overlap — so recorded stressors reflect the real state space.","The operator holds a misplaced sense of diverse coverage — nominal thresholds are met (persona count ≥2, multiple models, multiple humans in the room) but groupthink, poor psychological safety, or model/training-corpus overlap collapse the actual diversity achieved. Stressors go undiscovered while the walk feels thorough."
A-19,Operator Landscape Fluency,"As a project's recorded force landscape grows, whether the operator retains a coherent working model of it — without constantly re-reading the store — determines whether new decisions stay consistent with what's already known.","Operator retains a coherent working model of the force landscape as it scales, recallable without constant reference to the store.","Landscape complexity outpaces the operator's unaided memory — they record duplicate or contradictory forces, or make decisions blind to what's already there, because re-reading dozens of stressors before every session isn't viable."
