name,description,status,architecture_set
research-study,STANDALONE NOT RUNTIME — registry + terminology only (alpha/beta study unhomed),proposed,iter4-cli-hub
cli,Thin hub: dispatch only; process text lives beside each clap action,actual,iter4-cli-hub
cli-help,Completions / man / generate help artifacts,actual,iter4-cli-hub
skills-walk-personas,Save/retrieve personas for stressor-walk. Verification enforces min:2 until alpha/beta,actual,iter4-cli-hub
skills-research,Save/retrieve walk+persona research notes. Distinct from research-study,actual,iter4-cli-hub
skills-phases,Owns skill-list skill-show skill-data and ATAM+FMEA prose,actual,iter4-cli-hub
skills-installer,skill-install and skill check-install (skill-check alias OK),actual,iter4-cli-hub
skills-guru,"Portable before/after/faq guidance snippets per topic (attractors, stressors, purposes, personas); phase skills call into it for recurring reminders instead of re-deriving them inline — keeps skills-phases' initial load lean",proposed,iter4-cli-hub
verification,Criticality link+lexicon continuity one-way tags personas adequacy; reads policy from storage-config,actual,iter4-cli-hub
verification-git-hook,Pre-commit hook install under Verification,actual,iter4-cli-hub
structure,EXTERNAL filter/sort/group API (default group=attractor),actual,iter4-cli-hub
structure-analysis,NKP only — NOT ATAM/FMEA,actual,iter4-cli-hub
structure-analysis-tag-scan,Tag scanning as suggestions not enforcement,actual,iter4-cli-hub
structure-analysis-outsiders,Outsider audience framing and translated artifact routing,proposed,iter4-cli-hub
structure-analysis-force,Force = 1/2 of residue (purpose XOR stressor); naive_change + outcomes,actual,iter4-cli-hub
structure-analysis-purposes,Purpose as Force specialization; naive_change + outcomes NOT traits,actual,iter4-cli-hub
structure-analysis-stressors,Stressor as Force specialization; naive_change + outcomes NOT traits,actual,iter4-cli-hub
structure-analysis-attractors,Attractors with +/- states; NO valence,actual,iter4-cli-hub
structure-analysis-residues,NKP coupling matrix in residues.csv (force×component `1`/empty),actual,iter4-cli-hub
structure-definition-lexicon,Terms and aliases; continuity in outcome AND shortname,actual,iter4-cli-hub
structure-definition-components,Component registry status architecture_set,actual,iter4-cli-hub
structure-definition-iterations,Iteration-complete plus component name list,actual,iter4-cli-hub
storage,Read write and mutate (not append-only),actual,iter4-cli-hub
storage-config,THE config (v4 TOML): format_version + app + verify policy keys (super_strict token_warn),actual,iter4-cli-hub
storage-sessions,Locks change-detection hash; --force or diff on drift,actual,iter4-cli-hub
storage-migration,Naive→v3; v3→v4; inline force components→residues.csv; inline→git-sidecar branch lift,actual,iter4-cli-hub
storage-git-sidecar,Orphan git branch holding full residual/ tree; parent-dir config (stealth-mode); verify resolves sidecar tip,proposed,iter4-cli-hub
storage-format,CSV round-trip for structure.analysis.* and structure.definition.*,actual,iter4-cli-hub
skills-defense-personas,Simulated outsider persona voices rehearsing how residuality artifacts/pitches will land; scoped apart from skills-walk-personas,proposed,iter4-cli-hub
skills-defense-walk,Skill lens for rehearsing outsider-facing communication using the defense ledger,proposed,iter4-cli-hub
structure-defense-strategy,Brainstorming workspace for framing residuality concerns before they are pitched to outsiders,proposed,iter4-cli-hub
structure-defense-progress,Recorded outsider communications — wins losses and post-mortems,proposed,iter4-cli-hub
structure-defense-analysis,Meta-stressor/meta-attractor/meta-purpose ledger for residuality-inside-org friction,proposed,iter4-cli-hub
structure-defense-pitches,Practiced communication artifacts advancing residuality concerns in team/org communication,proposed,iter4-cli-hub
